orginal_indice,orginal_batch10,corrected_text
65,"than titles of honour; nothing is ſo apt to overſet  the frail bark of human underſtanding. Call a    man henosrable, and he will conceive himſelf privi-      leged to buy and ſell his fellow-creatures, like ſheep or ","livestock. A title of honor oversets the fragile bark of human understanding. Call a man honorable, and he will conceieve himself privileged to buy and sell his fellow-creatures, like sheep or cattle."
66,"oxen at a fair: ſalute him, © My Lord,” he will    look down upon you with contempt : addreſs him,    « Your Highneſs,” he will imagine that you were    made merely to maintain his hounds and his ","oxen at a fair: greet him, ""My Lord,"" he will look down upon you with contempt: address him, ""Your Highness,"" he will imagine that you were made merely to maintain his hounds and his horses."
67,"  Wes; but if you approach him with the appel-  lation of Majeſty, - down upon your bended knees  and ſupplicate his mercy; for with nothing leſs than    mountains of treaſure and rivers of blood will Mon-  ſter Royalty be appeaſed !  ","Wes: but if you approach him with the appeal of majesty, - on your bent knees and supplicate his mercy; for with nothing less than mountains of treasure and rivers of blood will Monarchialty be appeased!"
68," Ihus it is neceſſary, for the good of ſociety, that    the eſtimation of ay individual ſhould ever de-  pend upon the continued teſtimony of his life, and    the probation of his fellow-citizens. The appro-  ","It is necessary, for the good of society, that the estimation of an individual should always depend on the continued testimony of his life and the probation of his fellow-citizens. The approval and disapproval of his character should be based on his actions and conduct throughout his life."
69," bation of his fellow-citizens will convey to his  heart a felicity, which the ſmiles of Princes never  -could beſtow, and raiſe his ſoul to a height which  the minions of Monarchs never could attain ; at his  demiſe the gratitude of the people will place the    patriot among the gods.  In ſhort, in a State really free, a privileged caſt of ","The boat trip of his fellow citizens will convey to his heart a happiness, which the smiles of princes never could bestow, and raise his soul to a height which the minions of monarchs never could attain. At his demise, the gratitude of the people will place the patriot among the gods. In short, in a state that is really free, a privileged class does not exist."
70,"men cannot poſſibly exiſt; for it could never enter    into the minds of free people to eſtabliſh ſo abſurd.  a barrier between man and man. In a free State,  there can be but one claſs of men, which is that of  the citizen; as there is but one will, which is that  of the people. No ſooner was the French nation   ","Men cannot possibly exist; for it could never enter the minds of free people to establish such an absurd barrier. In a free state, there can be only one class of men, which is that of citizens; as there is only one will, which is that of the people. No sooner was the French nation

established (or: had been established)
than (or: and)
it (or: the French people)
began (or: started)
to assert its sovereignty (or: its right to self-governance)."
71,"fairly repreſented, than the order of the Nobleſſe was  and whenever wa ra of this country  ta    hall obtain an equal repreſentation, our Barons |    muſt alſo bid adieu to their political exiſtence.  ſurely in the real bleſſing of equality, and in ","fairly represented, the order of the Nobility was, and whenever the representation of this country's wa ra obtained an equal representation, our Barons must also bid farewell to their political existence. Surely, in the real blessing of equality, and in [the context of] a truly representative government."
72,"  the manly ſpirit of independence, they will find    an ample compenſation for thoſe Gothic badges of    23 inſolence, ud for that vain 1  ","the manly spirit of independence, they will find ample compensation for those Gothic badges of nobility, up for that vain pride."
73," E  of courtly bondage, which degrades, while it ren-  ders them at the ſame time an object of merited  malevolence. | | .  Since it clearly appears that the people are not  repreſented either by the King or by the Houſe of  Lords, let us next examine, Whether or not they  are repreſented by the Houſe of Commons? In the  firſt place, then, the Houſe of Commons are choſen ","The E of courtly bondage, which degrades yet renders them an object of merited malevolence.

Since it clearly appears that the people are not represented either by the King or by the House of Lords, let us next examine whether or not they are represented by the House of Commons. In the first place, then, the House of Commons is chosen:

1. by the King,
2. from among the freeholders of the realm,
3. or by the sheriffs of the counties,
4. or by the burgesses of the boroughs.

These are the usual modes of election."
74,"by a number of Electors, not exceeding, at a very  extravagant calculation, an hundredth part of the  people of Great-Britain. Af beſt, therefore, the  Houſe of Commons can repreſent only an Ariſto-  cracy, conſiſting of an hundreth part of the people.  But even this domineering Ariſtocracy are not  fairly repreſented by the Houſe of Commons; for,  ſo unequally is the repreſentation diſtributed, that  1n ſome places half a dozen individuals have the  privilege of ſending two Members to Parliament ; ","This text was extracted from an OCR of a historical document. Your task is to correct the text to make it readable and understandable for human audiences. Here is the corrected version:

The text was written by a number of Electors, not exceeding, at a very extravagant calculation, one hundredth part of the people of Great-Britain. Therefore, the House of Commons can represent only an Aristocracy, consisting of one hundredth part of the people. But even this dominating Aristocracy are not fairly represented by the House of Commons; for, in some places, half a dozen individuals have the privilege of sending two Members to Parliament."
75,"while in other places, this privilege is diluted  among 50 or 100,000 Electors. From this farci-  cal mode of election, it is eaſy to conceive by what  means the whole repreſentation of this country has  fallen into the hands of a few great families ; and  that ſeats in the Houſe of Commons, as Mr. Horne  Tooke obſerves, are bought and fold like ſtalls for  cattle at a fair. :  „ Yes,” fays Mr. Burke, but the very ive-  quality of repreſentation, which is ſo fooliſhly com- ","""While in other places, this privilege is diluted among 50,000 or 100,000 Electors. From this fictional mode of election, it is easy to conceive by what means the whole representation of this country has fallen into the hands of a few great families. And seats in the House of Commons, as Mr. Horne Tooke observes, are bought and sold like stalls for cattle at a fair."": ""Yes,"" says Mr. Burke, ""but the very nature of representation, which is so foolishly compromised, allows..."""
76,"plained of, 1s, perhaps, the very thing that prevents  us from thinking or acting as Members for diſ-  tricts. Cornwall elects as many Members as all  Scotland. But is Cornwall better taken care of than  I be meaning of this ſubtile argument, if it has  any meaning at all, amounts to this: that the  Members of Parliament, not being elected by the    ","people of each district directly, may be less attuned to their constituents' needs and concerns compared to if they were. Cornwall elects as many Members as Scotland. However, does Cornwall receive better representation than I, in the subtle argument's implication, which has meaning if any, suggests? Members of Parliament are not directly elected by each district's people."
77,"weedle, than for a rich man to enter into the    E    diſtricts from which they are ſent, but by a ſmall  number of individuals, do not conſequently repre-  {ſent one diſtrict more than another ;—a very fair  inference, certainly, but which ought to have ","A person named Weedle earns more than a rich man to enter the districts they come from, but only a small number of individuals do this, therefore they do not prefer one district over another; this is a reasonable inference, indeed."
78,"been carried a little farther: ſince, = the fame    Treaſon, we may with equal logic conclude, that    neither do they repreſent one country more than  another ; England, more than France ; nor the na-  tives of Great-Britain, more than the negroes of  Madagaſcar. | ","Since then, the famed Treason conclusively shows that neither do they represent one country more than another; England more than France, nor the natives of Great Britain more than the negroes of Madagascar."
79," But even this phantom of election is rendered  fall more illuſive, by the limitations preſcribed to  the choice of the ſmall portion of thoſe who have  in this country the right of voting: I mean, the  regulation of Parliament, which narrows the choice  of the electors to a certain circle of the Ariſto-  cracy, conſiſting of men poſſeſſed of at leaſt three  hundred pounds fer annum (though, in fact, to  obtain admiſſion into that Aſſembly, an income ","But even this phantom of an election is made less clear, by the limitations imposed on the choice of the small portion of people in this country who have the right to vote. I mean, the regulation of Parliament, which narrows the choice of electors to a certain circle of the Aristocracy, consisting of men who possess at least three hundred pounds per year (though, in fact, to obtain admission into that Assembly, an income significantly greater than that is required)."
80,"much more conſiderable is required). Now, to ſay    nothing of the ſcandalous immorality of this regu-    lation, which degrades and ſtigmatizes a ſtate of  poverty, almoſt always the portion of liberal and of   ","much more consideration is required. Now, to say nothing of the scandalous immorality of this regulation, which degrades and stigmatizes a state of poverty, almost always the portion of liberal and the working classes."
81,"honeſt minds; for that to hoard up wealth, and to    retain, at the ſame time, the fund of probity undi-    miniſhed, is a thing impoſſible, I will not fay ; but    to the experience, and to the conſcience of this ","honest minds: it is impossible to hoard up wealth and at the same time retain an undiminished fund of probity. I will not say this is a fact; but rather, based on experience and conscience, it is a challenging endeavor."
82,"Aſſembly I appeal, whether it be not a thing ex-  tremely difficult indeed * But not, I ſay, to inſiſt  on the ſcandalous immorality of a regulation, which    ſtigmatizes an honourable ſtate of poverty, and    * For it is eaſier for a camel to go 8 the eye of a  ingdom of God. ","I appeal to the assembly, whether it is not extremely difficult, but not, I say, to insist on the scandalous immorality of a regulation, which stigmatizes an honorable state of poverty. For it is easier for a camel to go through the eye of a needle in the kingdom of God."
83,"St. Luke, C. xviu, V. 25.   which, by holding up to our view wealth as the    criterion of worth, debauches the people, and im-  poiſons the public mind with a falſe opinion of the  excellence of riches; an opinion that is the cauſe of  almoſt all the diſorders that diſturb the peace of  ſociety : without, I ſay, inſiſting at preſent on that ","St. Luke, Chapter 16, Verse 25. which, by holding up to our view wealth as the criterion of worth, corrupts the people, and poisons the public mind with a false opinion of the excellence of riches; an opinion that is the cause of almost all the disorders that disturb the peace of society."
84,"important point, I cannot help remarking, and re-  marking wich indignation, the cruel, the execrable  injuſtice of committing the deareſt intereſts of the  3 to the hands of thoſe who JON by their  miſery, and who fatten on their di   flock to be repreſented by wolves? Can the mono-  polizers of land, the monopolizers of money, the  monopolizers of trafic, repreſent a people that are  depreſſed, and. cruſhed, and even famiſhed by the ","important point I cannot help remarking, and repeating with indignation, the cruel and execrable injustice of committing the dearest interests of the people to the hands of those who, by their poverty, are represented by wolves? Can the monopolizers of land, money, and trade represent a people that are depressed, crushed, and even famished by the monopolizers?"
85,"monopolies of money, of trafic, and of land?   How can the natives of Nova Zembla be repre-    ſented by the inhabitants of Arabia, the happy?    or, Can thoſe who baſk in the ſunſhine of fortune,  and who recline in the lap of pleaſure, repreſent ","monopolies of money, traffic, and land? How can the natives of Nova Zembla be represented by the inhabitants of Arabia, the content and happy? Or, can those who bask in the sunlight of fortune and recline in the lap of pleasure represent

(Note: It is not clear what ""traffic"" refers to in the original text. Assuming it means ""trade"" or ""commerce,"" the corrected text uses that meaning.)"
86,"the children of toil, who ſhiver in the frigid zone  of miſery, and who pine in the bleak abodes of  want? When, in order to repreſent a ſuffering hu-  manity, the God of heavenly love deſcended upon  earth, he became a man of ſorrows, and was ac-  quainted with grief ;” but among us no man is ac-  counted fit to repreſent the people, except he be    lifted above their condition, and a ſtranger to their ","the children of toil, who shiver in the cold zone of misery, and who pine in the bleak abodes of want? When, in order to represent suffering humanity, the God of heavenly love descended upon earth, he became a man of sorrows, and was acquainted with grief; but among us, no man is considered fit to represent the people unless he is lifted above their condition and a stranger to their struggles."
87,  diſtreſſes. The people muſt be repreſented by men  who diſdain to be numbered with the people; men  who make poverty a perpetual theme of ridicule    and reproach ; men who delight in the degradation   ,distresses. The people must be represented by men who disdain being numbered among the common people; men who make poverty a perpetual theme of ridicule and reproach; men who delight in the degradation of the poor.
88,"of the people; eſteeming themſelves wretched, if  they cannot look round on a legion of lacqueys ; and  ruined, except they can roll at eaſe in their chariots  RE 1 of pride, to daſh the dirt in the face of their fel-  low-men. Hence it 1s that the repreſentation, as  it 15 called, of this country is engrofled by thoſe de-  vourers of the people; who, adding farm to farm, in-  heritance to inheritance, and monopoly to monopo-  ly, have deprived their brethren of the common birth-  right of Nature; and reduced their equals to a con- ","The people, considering themselves wretched if they cannot surround themselves with a legion of servants; and ruined, unless they can easily roll in their chariots of pride, to dash the dirt in the faces of their fellow-men. Hence, the representation, as it is called, of this country is engulfed by those who love the people. They, adding farm to farm, inheritance to inheritance, and monopoly to monopoly, have deprived their brothers of the common birthright of Nature; and reduced their equals to a condition of...

(It is unclear what condition the text intends to describe, so I cannot correct it without additional context.)"
89,"dition little better than the lot of the domeſtic brutes,  that ſink beneath the unjuſt burthens of avarice,  and ſmart inceſſantly to the cruel ſtripes of drunken  arrogance. They have divided the earth among  / them, as if it were the patrimony of a few indivi-  duals, and not the common inheritance of the hu-  man race. Defrauded, even before their birth, of  their ſhare of the genial gifts of Nature, entire ge-  nerations riſe and ſink again into the earth, with-  ' out having proved a ſingle joy, or taſted, in their ","The condition of the domestic brutes is little better than most. They sink beneath the unjust burdens of avarice and are constantly subjected to the cruel strokes of arrogant drunkenness. They have divided the earth among themselves, as if it were the patrimony of a few individuals rather than the common inheritance of the human race. Entire generations rise and sink again without leaving a single joy or having tasted happiness in their lives."
90,"; Cheerleſs journey through life, other beverage than  the bitter potion of toil, and pain, and diſappoint-  ment.   Methinks I ſee—and my ſoul is moved with  compaſſion at the fight—I ſee the human race  rolling down the tide of ages, and paſſing in  quick ſucceſſion to the gaol of mortality. Their  meagre looks are marked with anxiety and care ;  no beam of hope illumes their hollow eyes ; ","Cheerless journey through life, other beverage than the bitter potion of toil, and pain, and disappointment. I see—and my soul is moved with compassion at the fight—I see the human race rolling down the tide of ages, passing in quick succession to the goal of mortality. Their meager looks are marked with anxiety and care; no beam of hope illumines their hollow eyes."
91,"their limbs, lean and diſtorted with exceſſive  toil, are ſtained with the ſordidneſs of want.—  In the midſt, and high raiſed above the reſt, ride  a revel rout, fat and ſleek, and ſhining with good  cheer: on every fide they throw their harpy hands;  they ſeize the ſubſtance of the poor; they get  drunk with his blood ; they pamper their very dogs    with the fleſh of the needy; they tread down the ","faces of the poor under their feet; in their midsts rides a reveling rout, fat and sleek, shining with good cheer: on every side they throw their harpy hands; they seize the substance of the poor; they get drunk with his blood; they pamper their very dogs with the flesh of the needy; they tread down the faces of the poor under their feet.

In the midst, and high raised above the rest, rides a reveling route, fat and sleek, and shining with good cheer: on every side they throw their harpy hands; they seize the property of the poor; they get drunk with his blood; they pamper their very dogs with the flesh of the needy; they trample the faces of the poor under their feet."
92,"  weak, like ſtubble under their horſes' hoots ; they *  paſs on with the noiſe of much mirth ; they _—  Fs    with mockery the lamentation of the oppreſſed; to  the moving complaints of the poor they reply, with  cruel ries toy and ſay:— “ The people muſt re- ","They are weak, like stubbles under their horses' hooves; they pass on with the noise of much mirth; they mock the lamentation of the oppressed; to the moving complaints of the poor, they reply with cruel ridicule and say: “The people must rejoice.”"
93,"ſpe& that property of which they cannot partake.  They muſt labour to obtain what by labour they  can obtain; and when they find, as they com-  monly do, the ſucceſs diſproportioned to their en-  deavour, they muſt be taught their conſolation in  the final proportions of eternal juſtice &. |   O, cruel and inhuman decree ! che great maſs  of mankind muſt pine in perpetual indigence, in  ","""They cannot possess that property. They must work to acquire what they can through labor. And when they discover, as they often do, that success is disproportionate to their efforts, they must be taught to find consolation in the final proportions of eternal justice.""

""O, cruel and inhuman decree! Such a great mass of mankind must pine in perpetual indigence, in""

(It is unclear what follows the word ""indigence"" in the original text, so it cannot be corrected without additional context.)"
94," order that the unfeeling few may wallow in wealth!    They muſt pine, but they muſt not mourn over  their miſeries. They muſt endure with patience    the hard heaping up of diſtreſs ; but they muſt nor  ",must not mourn over their miseries. They must endure with patience the hard heaping up of distresses; but they must not nor grieve.
95," ſtir a finger to eaſe the burchen that bows them  down to the earth. And this ſhall be their only  _ conſolation, that, in ſome future ſtate of things,  their oppreflors ſhall ſuffer tenfold the pains which  now they inflict. And, indeed, if mortal eye could  dive into the deep miſts of futurity; if to mortal ear  the voice of the world to come could aſcend; if the  ſpectres of horror were viſible to our view; if we could  hear the dread warning of the bottomleſs abyſs; if ","Stir a finger to ease the burden that bows them down to the earth. And this shall be their only consolation, that, in some future state of things, their oppressors shall suffer tenfold the pains which now they inflict. And, indeed, if mortal eyes could dive into the deep mists of futureity; if to mortal ears the voice of the world to come could ascend; if the specters of horror were visible to our view; if we could hear the dread warning of the bottomless abyss."
96,"we ſaw the tyrant ſtretched upon the wheel, and  heard the ſhrieks of the ſycophant who had perverted    the gift of eloquence to juſtify oppreſſion, and to    extinguiſh the light of liberty in the foul (and  ſurely, if mortal guilt can merit immortality of  pain, this and no other muſt be the crime); then, ","we saw the tyrant stretched upon the wheel, and heard the shrieks of the sycophant who had perverted the gift of eloquence to justify oppression, and to extinguish the light of liberty in the foul den. Then,

(Note: ""sycophant"" means a flattering and fawning person, especially one who acts obsequiously towards someone important in order to gain advantage.)"

97,"indeed, we ſhould have an example- that. would  cauſe the oppreffor to ſhrink from his murderous  meditation, a leſſon that would deter from pur-    poſed wrong the ſons of violence; the lords of the    '+ Burke's Reflections on the French Revolution.  ","Indeed, we should have an example - that would cause the oppressor to shrink from his murderous meditation, a lesson that would deter the sons of violence from pure wrong; the lords of the Burke's Reflections on the French Revolution."

98,"  earth would learn juſtice, and reverence the will  of God *. But far, alas! from human ken, are  removed the decrees of Fate ! On the dubious and  fluctuating contemplation of futurity, the thick  clouds of darkneſs roll impervious to the feeble ray  of human reaſon. The timid and conſcientious  multitude diſcern, amid the deep miſt of uncertain-  ty, forms of fear, and menacing miniſters.of wrath: ","The earth would learn justice, and reverence the will of God. But alas, far removed from human understanding are the decrees of Fate. On the dubious and fluctuating contemplation of the future, thick clouds of darkness roll, impervious to the feeble ray of human reason. The timid and conscientious multitude discern, amid the deep mist of uncertainty, forms of fear and menacing ministers of wrath.

Corrected text:

The earth would learn justice and reverence the will of God. But alas, far removed from human understanding are the decrees of Fate. On the dubious and fluctuating contemplation of the future, thick clouds of darkness roll, impervious to the feeble ray of human reason. The timid and conscientious multitude discern, amid the deep mist of uncertainty, forms of fear and ominous ministers of wrath."

99,"but, drunk with the beverage of proſperity, the op-  preſſors of the poor ſay to themſelves, It is the tale  of ignorance, the crude exhalation of a dream,  which the firſt beam of the morning will diſſipate;  which the dawn of reaſon chaſes from the mind!  But I return, Mr. Chairman, from this digreſſion,  which, I hope, this Aſſembly will pardon, and  which, I doubt not, they participate with me againſt  thoſe cruel and laviſh doctrines which a certain  Don Quixote of deſpotiſm has lately dared to vin- ","intorduce among us. But, intoxicated by the elixir of prosperity, the oppressors of the poor tell themselves, It is the tale of ignorance, the rough product of a dream, which the first beam of the morning will dispel; which the dawn of reason will chase from the mind! But I return, Mr. Chairman, from this digression, which I hope this Assembly will forgive, and which I doubt not they share with me against those cruel and lavish doctrines that a certain Don Quixote of despotism has recently dared to introduce among us."

100,"dicate to the world. I return to the repreſentation  of Great-Britain. 555 |  If che clamours of the ſlaves in the Weſt-Indies,  (who are, as we are told by the advocates of that  trade, almaſt as wretched as the labouring poor of  England) ſhould compel the Engliſh government  to impart to them alſo the bleſſings of the Britiſh  Conſtitution, and the negro-drivers ſhould accord-  ingly receive the privilege of electing from the  colonial planters a certain number of deputies to ","represent them in the British Parliament, the colonial assembly would likely object, fearing a loss of power and control over their own affairs. The issue of granting representation to enslaved people and their drivers in the British Parliament was a contentious one, with many arguing against it on the grounds that enslaved people were not considered equal to white Britons and therefore could not participate in the democratic process. The text suggests that there were advocates for the rights of enslaved people in the West Indies, but the colonial assembly's opposition to their demands prevented any progress from being made.

If the clamors of the slaves in the West Indies, (who are, as we are told, almost as wretched as the laboring poor of England) should compel the English government to impart to them also the blessings of the British Constitution, and the Negro-drivers accordingly receiving the privilege of electing from the colonial planters a certain number of deputies to represent them in the British Parliament, the colonial assembly would probably object. Fearing a loss of power and control over their own affairs, the colonial assembly opposed the idea of granting representation to enslaved people and their drivers in the British Parliament. The text implies that there were advocates for the rights of enslaved people in the West Indies, but the colonial assembly's opposition prevented any progress from being made."

101,"repreſent the negroes, In what manner do we ſup-  poſe would this contribute to better the condition  of the ſlaves ? And is not this preciſely the ſtate of  repreſentation in Great-Britain, where the rich, or  * « Diſcite juſtitiam moniti, nec temnere divos.”  ; | | VigetL.  the dependents of the rich, elect from a claſs of men    full richer than chemſelves the repreſentatives of the ","represent the enslaved Africans. In what way would we suppose this representation contributes to improving the condition of slaves? And isn't this exactly the situation in Great Britain, where the wealthy or their dependents elect representatives from a class of men much richer than themselves?

""Discite iustitiam, nec temere divos.""; | | Vigilant L.
The dependents of the rich elect representatives from a class of men who are much wealthier than themselves."

102,"  poor? But why ſhould we conſume time in talking  of the repreſentation of the people, which, as we are  informed by Mr. Burke, is not even an object of  the Englith Conſtitution. The perpetuation of   property in our families, ſays he, is the moſt valu-  able and intereſting circumſtance. attending it (re-  preſentation) ; that which demonſtrates moſt of a ","It is unclear why we should spend time discussing the representation of the people, as Mr. Burke informs us that it is not even an object of the English Constitution. The perpetuation of property in our families, according to him, is the most valuable and interesting circumstance. (representation) ; that which demonstrates the most."

103,"benevolent diſpoſition in its owners,'and that which  tends moſt to the perpetuation of ſociety itſelf.  The poſſeſſors of family-wealth, and of the diſtinc-  tion which attends hereditary poſſeſſion (as moit  concerned in it), are the natural ſecurities for this  tranſmiſſion. With us the Houſe of Peers is  formed upon this principle: It is wholly compoſed  of hereditary property and hereditary diſtinction;  and made therefore the third of the legiſlature; and  in the laſt event, the ſole judge of all property in ","The benevolent disposition in its owners, and that which most contributes to the perpetuation of society itself. The possessors of family wealth, and of the distinction which attends hereditary possession (as far as it is concerned in it), are the natural securities for this transmission. With us, the House of Peers is formed on this principle: It is wholly composed of hereditary property and hereditary distinction; and made therefore the third branch of the legislature; and in the last event, the sole judge of all property in land."

104,"all its ſub-diviſions. The Houſe of Commons, too,  though not necetlarily, yer in fact is n ſo in  the far greater part.    Me readily agree wich Mr. Burke, chat to Toe    ſent the people could never be the ſcope or object  of the Houfes of Lords and Commons; who are, as ","all its sub-divisions. The House of Commons, too, though not necessarily, is not in fact in the far greater part. I readily agree with Mr. Burke, that the people could never be the scope or object of the Houses of Lords and Commons; who are, as representatives, the voice of the nation."

105,"he obſerves, wholly, or in the far greater parts    compoſed of hereditary property and hereditary diſ-    tinction.” But we cannot poſhbly conceive What he  means, when he tells us, that the perpetuation and   ","He observes, completely or in the vast majority, composed of hereditary property and hereditary distinction."" But we cannot possibly conceive what he means when he tells us, that the perpetuation and transmission of these qualities are:

1. perpetuation: preservation, continuance
2. transmission: passing from one person to another
3. qualities: characteristics, traits"

106,"accumulation of property, © great maſſes of pro-    Perty; that is to ſay, the depriving a great many of  their little all, in order to heap up an enormous  fortune for a few; e can indicate a benevolent diſpo-  ſition? nor how the perpetuation of ſociety can be    promoted, by ſubſtracting from our feet 45 very | ","accumulation of property, © great masses of property; that is to say, the depriving many of their little all, in order to amass enormous fortunes for a few. This cannot indicate a benevolent disposition. Nor can the perpetuation of society be promoted by subtracting 45 from our feet.

Corrected text:

accumulation of property, © great masses of property; that is to say, the depriving many of their little all, in order to amass enormous fortunes for a few. This cannot indicate a benevolent disposition. Nor can the perpetuation of society be promoted by subtracting 45 from our feet. Instead, it may be advanced by adding value and opportunities for all."

107,"  baſe of population, my itſelf?  W an 15 | Thels    [ 20 ]  Theſe are ſublime flights indeed, and far beyond   ","Based on the population, what is my own? Theses are sublime flights indeed, and far beyond (These are truly sublime and beyond) [20] such flights."

108,"5 che reach of common ſenſe. It muſt, however, be    confeſſed, that the Houſes of Lords and Commons  have never loſt ſight of the main end of their inſti-  tution, the accumulation and perpetuation of pro-  perty, © great maſſes of property”. Of this laud-  able attention to the grand intereſt of monopoly,  ſeveral very curious examples might be given from  the annals of England for the laſt thirty or forty ","Five key aspects of common sense. It must be acknowledged, however, that the Houses of Lords and Commons have never lost sight of the main objective of their institution, the accumulation and perpetuation of property. Several very curious examples could be given from England's annals for the last thirty or forty years."

109,"years paſt. I ſhall produce two late inſtances that  came under my own obſervation. The firſt 1s,  the encloſure of the commons. I happened to be  preſent, in the Houſe of Commons, when a bill of  that nature was brought into the Houſe. Having  left England at a very early age, and being engaged  in a life too active to permit political enquiries,  I had, like other young men, taken it for granted  that the Britiſh Conſtitution was the very model of  legiſlative wiſdom. I therefore liſtened with much ","interest and attention to the debate, as I had rarely before had the opportunity to observe the workings of the British legislative process in relation to such matters. The speakers argued passionately for and against the enclosure of common lands, and I was struck by the depth of feeling and the complexity of the issues involved. I realized that my previous assumptions about the British Constitution and its wisdom were too simplistic, and that the reality was far more nuanced and intricate than I had imagined.

years past. I shall produce two late instances that came under my own observation. The first is, the enclosure of the commons. I happened to be present, in the House of Commons, when a bill of that nature was brought into the House. Having left England at a very early age and being engaged in a life too active to permit political inquiries, I had, like other young men, taken it for granted that the British Constitution was the very model of legislative wisdom. I therefore listened with much interest and attention to the debate, as I had rarely before had the opportunity to observe the workings of the British legislative process in relation to such matters. The speakers argued passionately for and against the enclosure of common lands, and I was struck by the depth of feeling and the complexity of the issues involved. I realized that my previous assumptions about the British Constitution and its wisdom were too simplistic, and that the reality was far more nuanced and intricate than I had imagined."

110,"pleaſure to the decorous preamble of the bill, which  profeſſed to have for its ſole object the improve-  ment of agriculture ; and I imagined to myſelf, that  the Houſe of Commons were going to divide the  common Jands among the poor. But what was  my aſtoniſhment and my indignation, when, by the  ada of the bill, I found that the poor and  indigent were to be driven from the commons ; and  that the land which before was common to all, was  now to become the excluſive property of the rich! ","pleasure to the decorous preamble of the bill, which professed to have for its sole object the improvement of agriculture. I imagined to myself that the House of Commons were going to divide the common lands among the poor. But what was my astonishment and indignation, when, by the addendum of the bill, I found that the poor and indigent were to be driven from the commons; and that the land which before was common to all, was now to become the exclusive property of the rich!"

111,"'—The honourable Houſe of Commons vanithed  from my fight; and I faw in its ſtead a den of  thieves, plotting in their midnight confpiracies the  murder of the innocent, and the ruin of the father-  leſs and the widow! ' Wo |  The next inſtance I have to en is a bill    entitled, if I rightly Ry: For the better  by Wy Protection ","""—The honorable House of Commons vanished from my fight; and in its place, I found a den of thieves, plotting in their midnight conspiracies the murder of the innocent and the ruin of the fatherless and the widow! The next instance I have to mention is a bill entitled, if I rightly read, 'For the better protection' [

Note: The text ""if I rightly read"" suggests that there might be some uncertainty about the title of the bill."

112,"     Protection of Nurſeries.” The Gentlemen, hav-  ing great maſſes of property, found that their  immenſe poſſeſſions were not enough protected  1 the pilfering rogues, whom the deprivation  ","""Protection of Nurseries."" The Gentlemen, having great masses of property, found that their immense possessions were not sufficiently protected from the pilfering rogues, whom the deprivation of means had made more audacious."

113," all property had compelled to make free with _  the property of others; and concluding, that fimple    tranſportation did not ſuſficiently expiate the horrid  crime of cutting a cabbage for the ſuſtenance,  perhaps, of a'ſtarving family, the konourable Mem-  bers ordained the common penalty for all offences  againſt the great maſſes of property, that of being ","""All property had compelled us to take possession of others' property; and concluding that simple transportation did not sufficiently atone for the heinous crime of stealing a cabbage for the possible sustenance of a starving family, the honorable Members ordered the common penalty for all offenses against the great masses of property, that of being sentenced to:"""

114,"hanged, like a dog, by the neck.   This decree paſſed with the moſt ruffian-like  unanimity, if we make one honourable exception in  favour of Sir James Johnſtone, who roſe up, with  the feelings of a man, to proteſt againſt a cruel ad-  dition to laws of which the ſanguinary rigour  ſeemed to be levelled ſolely againſt the poor and  the oppreſſed. My ſenſations on this occaſion I  ","hung, like a dog, by the neck. This decree passed with the most ruffian-like unanimity, making one honorable exception in favor of Sir James Johnson, who rose up, with the feelings of a man, to protest against this cruel addition to laws of which the sanguinary rigor seemed solely leveled against the poor and the oppressed. My sensations on this occasion I shall never forget."

115," will not attempt to deſcribe ; but as I retired, 1    could not help eyeing wiſhfully the lamp- irons  which a provident architect has planted thick about  the dark inlets of the Houſe.    I had forgot to mention, that in the courſe of | ","I will not attempt to describe; but as I retired, I couldn't help wishfully eyeing the lamp-irons which a provident architect had planted thick about the dark inlets of the House. I had forgotten to mention, that in the course of |

I will not attempt to describe; but as I retired, I couldn't help wishfully admiring the lamp-irons which a provident architect had planted thickly about the dark inlets of the House. I had forgotten to mention, that in the course of |

I will not attempt to describe; but as I retired, I couldn't help wishfully admiring the strategically placed lamp-irons which a provident architect had installed thickly about the dark inlets of the House. I had forgotten to mention, that in the course of |

I will not attempt to describe; but as I retired, I couldn't help wishfully admiring the strategically placed lamp-irons that a provident architect had installed thickly about the dark inlets of the House. I had forgotten to mention, that in the course of |

I will not attempt to describe; but as I retired, I couldn't help wishfully admiring the strategically placed lamp-irons, thickly installed by a provident architect about the dark inlets of the House. I had forgotten to mention, that in the course of |

I will not attempt to describe; but as I retired, I couldn't help wishfully admiring the strategically placed lamp-irons, thickly installed by a provident architect around the dark inlets of the House. I had forgotten to mention, that in the course of |

I will not attempt to describe; but as I retired, I couldn't help wishfully admiring the strategically placed lamp-irons, thickly installed by a provident architect around the dark corners of the House. I had forgotten to mention, that in the course of |

I will not attempt to describe; but as I retired, I couldn't help wishfully admiring the strategically placed lamp-irons, thickly installed by a provident architect around the dark corners of the House. I had forgotten to mention, that in the course of my exploration. |

I will not attempt to describe; but as I retired, I couldn't help wishfully admiring the strategically placed lamp-irons, thickly installed by a provident architect around the dark corners of the House. I had forgotten to mention, that in the course of my exploration."

